similes,components,literal_sentences,label1_q,label1_c,label1_i,label2_q,label2_c,label2_i,label3_q,label3_c,label3_i,BERTS_base,BERTS_large,BLEU1,BLEU2,BLEU3,BLEU4,rouge1,rouge2,rougeL,meteor,fluency,relevance_KB,relevance_COMET,consistency_emo,consistency_mnli
"As for Paganel, he wept like a child who does not think of hiding his emotion.","[('he', 'a child', 'wept')]","As for Paganel , he wept who does not think of hiding his emotion .",5,4,2,5,3,2,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9991387047374352,0.7099849646631637
"As for Paganel, he wept like a person who does not think of hiding his emotion.","[('he', 'a person', 'wept')]","As for Paganel , he wept who does not think of hiding his emotion .",2,2,2,2,1,2,3,2,1,0.1460397330857157,0.0946971780625997,0.4722222222222221,0.2941176470588231,0.203125,0.1466666666666665,0,0,0,0.0848408524571608,0,0.0258036775474328,0.0466786355475763,1,0
"As for Paganel, he wept like a boy who does not think of hiding his emotion.","[('he', 'a boy', 'wept')]","As for Paganel , he wept who does not think of hiding his emotion .",4,3,2,5,3,2,5,3,2,0.7101309084296801,0.6767626613704072,0.4722222222222221,0.2941176470588231,0.203125,0.1466666666666665,0,0,0,0.0848408524571608,0.1722700150775361,0.2617424243182862,0.3105924596050269,0.9987775577551308,1
"As for Paganel, he wept like a brave man who does not think of hiding his emotion.","[('he', 'a brave man', 'wept')]","As for Paganel , he wept who does not think of hiding his emotion .",1,3,3,1,4,3,1,4,3,0,0,0,0,0,0,0,0,0,0,0.1980857136242361,0,0,0,0.342272739155036
"He possessed an inimitable irony and a power of sarcasm which could scorch like vitriol, but the latter is almost invariably directed against what is base and hateful.","[('a power of sarcasm', 'vitriol', 'scorch')]","He possessed an inimitable irony and a power of sarcasm which could scorch , but the latter is almost invariably directed against what is base and hateful .",5,5,2,5,4,2,5,4,2,1,1,1,1,1,1,0.5,0.5,0.5,1,0.9706457364158056,0.5,0.5,0.4437693626492616,0.5759245620495554
"He possessed an inimitable irony and a power of sarcasm which could scorch like fire, but the latter is almost invariably directed against what is base and hateful.","[('a power of sarcasm', 'fire', 'scorch')]","He possessed an inimitable irony and a power of sarcasm which could scorch , but the latter is almost invariably directed against what is base and hateful .",3,2,2,3,2,2,5,2,2,0.7609077046073671,0.7365075872341506,1,1,1,1,0.5,0.5,0.5,1,0.2008822502728224,0.5,0.5,1,1
"He possessed an inimitable irony and a power of sarcasm which could scorch like acid, but the latter is almost invariably directed against what is base and hateful.","[('a power of sarcasm', 'acid', 'scorch')]","He possessed an inimitable irony and a power of sarcasm which could scorch , but the latter is almost invariably directed against what is base and hateful .",3,4,2,5,3,2,5,4,2,0.7323966599549923,0.8713216936500817,1,1,1,1,0.5,0.5,0.5,1,0,0.5,0.5,0,0
"He possessed an inimitable irony and a power of sarcasm which could scorch like a flame, but the latter is almost invariably directed against what is base and hateful.","[('a power of sarcasm', 'a flame', 'scorch')]","He possessed an inimitable irony and a power of sarcasm which could scorch , but the latter is almost invariably directed against what is base and hateful .",4,3,3,4,3,3,5,3,2,0,0,0,0,0,0,0.5,0.5,0.5,0,1,0.5,0.5,0.93125996330496,0.912317849439739
"Some raindrops struck the roof, window and ran down its panes like diamonds.","[('Some raindrops', 'diamonds', 'ran')]","Some raindrops struck the roof , window and ran down its panes .",3,3,2,1,3,2,3,4,2,0.1401558696910355,0.0961946815541899,0.6999999999999997,0.514285714285714,0.5076923076923077,0.5000000000000004,0,0,0,0.2121106402128731,0,0,0,0.7547789309503571,0.7453371267207053
"Some raindrops struck the roof, window and ran down its panes like tears.","[('Some raindrops', 'tears', 'ran')]","Some raindrops struck the roof , window and ran down its panes .",3,3,2,3,4,2,4,3,2,1,1,1,1,1,1,1,1,1,1,0.0424518678653992,1,1,1,0.033359435547184
